name,sex,latest_year,latest_rank,latest_count,first_year,total_count,origin_backgrounds,languages,scripts,variants,meaning,age_style_category,historical_significance_score,semantic_summary
Jennifer,F,2020,434,699,1916,1473567,,,,,,,,
Jordan,F,2020,435,697,1880,515701,,,,,,,,
Alison,F,2020,436,696,1905,114124,,,,,,,,
Stephanie,F,2020,437,696,1891,744611,,,,,,,,
Maren,F,2020,438,695,1916,9971,,,,,,,,
Kayleigh,F,2020,439,694,1984,31981,,,,,,,,
Angel,F,2020,440,690,1888,338457,,,,,,,,
Annalise,F,2020,441,690,1965,13403,,,,,,,,
Jacqueline,F,2020,442,690,1891,424530,,,,,,,,
Braelynn,F,2020,443,686,1989,7652,,,,,,,,
Emory,F,2020,444,686,1880,24311,,,,,,,,
Rosemary,F,2020,445,685,1882,158475,,,,,,,,
Scarlet,F,2020,446,682,1939,14393,,,,,,,,
Amanda,F,2020,447,681,1880,789433,,,,,,,,
Danielle,F,2020,448,678,1937,370484,,,,,,,,
Emelia,F,2020,449,678,1880,11169,,,,,,,,
Ryan,F,2020,450,678,1906,968669,,,,,,,,
Carolina,F,2020,451,676,1880,44576,,,,,,,,
Astrid,F,2020,452,675,1892,10229,,,,,,,,
Kensley,F,2020,453,675,1987,7047,,,,,,,,
Shiloh,F,2020,454,675,1969,15148,,,,,,,,
Maci,F,2020,455,673,1973,19113,,,,,,,,
Francesca,F,2020,456,671,1895,30976,,,,,,,,
Rory,F,2020,457,670,1933,37020,,,,,,,,
Celine,F,2020,458,668,1893,12924,,,,,,,,
Kamryn,F,2020,459,668,1974,26320,,,,,,,,
Zariah,F,2020,460,665,1992,10819,,,,,,,,
Liana,F,2020,461,664,1929,16989,,,,,,,,
Poppy,F,2020,462,664,1919,4702,,,,,,,,
Maliyah,F,2020,463,663,1994,12610,,,,,,,,
Keira,F,2020,464,661,1962,31097,,,,,,,,
Skyler,F,2020,465,656,1954,65172,,,,,,,,
Noa,F,2020,466,655,1970,7658,,,,,,,,
Skye,F,2020,467,654,1952,23407,,,,,,,,
Nadia,F,2020,468,649,1911,43424,,,,,,,,
Addilyn,F,2020,469,647,1999,7583,,,,,,,,
Rosie,F,2020,470,646,1880,81697,,,,,,,,
Eve,F,2020,471,644,1880,26687,,,,,,,,
Sarai,F,2020,472,644,1953,19307,,,,,,,,
Edith,F,2020,473,643,1880,268645,,,,,,,,
Jolene,F,2020,474,643,1918,33414,,,,,,,,
Maddison,F,2020,475,639,1985,20856,,,,,,,,
Meadow,F,2020,476,638,1914,8021,,,,,,,,
Charleigh,F,2020,477,637,1985,7039,,,,,,,,
Matilda,F,2020,478,631,1880,33508,,,,,,,,
Elliott,F,2020,479,630,1880,57045,,,,,,,,
Madelynn,F,2020,480,630,1920,15813,,,,,,,,
Holly,F,2020,481,629,1880,203294,,,,,,,,
Leona,F,2020,482,628,1880,110482,,,,,,,,
Azalea,F,2020,483,627,1902,7356,,,,,,,,
Katie,F,2020,484,626,1880,238870,,,,,,,,
Mira,F,2020,485,624,1887,11279,,,,,,,,
Ari,F,2020,486,622,1958,20543,,,,,,,,
Kaitlyn,F,2020,487,622,1971,164626,,,,,,,,
Danna,F,2020,488,620,1916,20638,,,,,,,,
Cameron,F,2020,489,619,1882,317202,,,,,,,,
Kyla,F,2020,490,619,1940,40913,,,,,,,,
Bristol,F,2020,491,618,1915,8831,,,,,,,,
Kora,F,2020,492,616,1942,6424,,,,,,,,
Armani,F,2020,493,615,1986,20371,,,,,,,,
Nia,F,2020,494,615,1951,23102,,,,,,,,
Malani,F,2020,495,611,1977,2925,,,,,,,,
Dylan,F,2020,496,610,1953,398187,,,,,,,,
Remy,F,2020,497,610,1914,14165,,,,,,,,
Maia,F,2020,498,609,1950,14638,,,,,,,,
Dior,F,2020,499,605,1977,4534,,,,,,,,
Legacy,F,2020,500,604,1994,4095,,,,,,,,
